categoryCode,categoryName,categoryNameEn,parentCategoryCode,level,status
LADIES,レディース,Ladies,,1,ACTIVE
MENS,メンズ,Mens,,1,ACTIVE
KIDS,キッズ,Kids,,1,ACTIVE
UNISEX,ユニセックス,Unisex,,1,ACTIVE
LADIES-TOPS,トップス,Tops,LADIES,2,ACTIVE
LADIES-BOTTOMS,ボトムス,Bottoms,LADIES,2,ACTIVE
LADIES-OUTER,アウター,Outerwear,LADIES,2,ACTIVE
LADIES-DRESS,ワンピース,Dress,LADIES,2,ACTIVE
LADIES-SETUP,セットアップ,Setup,LADIES,2,ACTIVE
LADIES-INNER,インナー,Innerwear,LADIES,2,ACTIVE
MENS-TOPS,トップス,Tops,MENS,2,ACTIVE
MENS-BOTTOMS,ボトムス,Bottoms,MENS,2,ACTIVE
MENS-OUTER,アウター,Outerwear,MENS,2,ACTIVE
MENS-SUIT,スーツ,Suit,MENS,2,ACTIVE
MENS-SETUP,セットアップ,Setup,MENS,2,ACTIVE
MENS-INNER,インナー,Innerwear,MENS,2,ACTIVE
KIDS-TOPS,トップス,Tops,KIDS,2,ACTIVE
KIDS-BOTTOMS,ボトムス,Bottoms,KIDS,2,ACTIVE
KIDS-OUTER,アウター,Outerwear,KIDS,2,ACTIVE
UNISEX-TOPS,トップス,Tops,UNISEX,2,ACTIVE
UNISEX-BOTTOMS,ボトムス,Bottoms,UNISEX,2,ACTIVE
UNISEX-OUTER,アウター,Outerwear,UNISEX,2,ACTIVE
UNISEX-ACC,アクセサリー,Accessory,UNISEX,2,ACTIVE
UNISEX-BAG,バッグ,Bag,UNISEX,2,ACTIVE
UNISEX-SHOES,シューズ,Shoes,UNISEX,2,ACTIVE
UNISEX-HAT,帽子,Hat,UNISEX,2,ACTIVE
